Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
George Rpt,29,Rpt GC LA ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Louisiana,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,30,Rpt GC TX ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Texas,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,31,Rpt GC AL ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Alabama Li,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,32,Rpt GC SE ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,SE Louisia,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

Hattiesbur,1,Hattiesbur,146670000,146070000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
Hattiesbur,2,Hattiesbur,146775000,146175000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
Hattiesbur,3,Hattiesbur,147315000,147915000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
Hattiesbur,4,W5NRU-L,442700000,447700000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,179.9,CTCSS,179.9,0,OFF,OFF
Hattiesbur,5,N5LRQ,442725000,447725000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,167.9,CTCSS,167.9,0,OFF,OFF
Hattiesbur,6,W5CJR,443700000,448700000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
Hattiesbur,7,W5USM AllS,444350000,449350000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
Hattiesbur,8,K5IJX,444775000,449775000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF

Mississipp,1,Mississipp,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Mississipp,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,2,Mississipp,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Mississipp,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,3,Lucedale,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Lucedale,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,4,MS XRF813 ,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,MS XRF813 ,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,5,Northeast,,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Northeast,,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Mississipp,6,Blind Hams,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Blind Hams,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
